name,website,cb_description,year_founded,mosaic_change,city,region,country,postal
Tradeteq,https://tradeteq.com,"Tradeteq operates as a company operating in the financial services sector, with a focus on private debt investment. It offers a platform that connects asset sellers with investment managers, providing services such as transforming assets into investable notes, performing the due diligence process, and supporting transactions. It primarily serves the financial industry, particularly banks and financial institutions. The company was founded in 2016 and is based in London, United Kingdom.",2016,-110,London,England,United Kingdom,EC2N 3AR
Fam,https://famapp.in,"FamApp by Trio is a financial services company that focuses on providing UPI and card payment solutions for the younger generation. The company offers a spending account called FamX, which allows users to manage their finances, make payments, and receive rewards without the need for a traditional bank account. FamApp by Trio caters to individuals starting from the age of 11, promoting financial literacy and inclusion among teens. Fam was formerly known as Fampay. It was founded in 2019 and is based in Bengaluru, India.",2019,-105,,Bengaluru,India,560102
FreeWire Technologies,https://freewiretech.com,"FreeWire Technologies operates as an intelligent energy system platform for the industry's needs of energy and transportation. It creates energy delivery systems brings clean power to applications and manufactures electric vehicle charging solutions that free customers from the limitations of the electric grid. The company was founded in 2014 and is based in Newark, California.",2014,+34,Newark,California,United States,94560
Everee,https://everee.io,Everee is a discovery app with offline notifications.,,,,,Pakistan,
ByHeart,https://byheart.com,"ByHeart focuses on infant nutrition within the health and wellness sector. Its main product is an infant formula that aims to closely mimic breast milk, using a patented protein blend and organic, grass-fed whole milk and is backed by clinical trials to prove its benefits. The company primarily sells to the infant nutrition market. ByHeart was formerly known as Second Science. It was founded in 2017 and is based in New York, New York.",2017,,New York,New York,United States,10013
Nu Quantum,https://nu-quantum.com,"Nu Quantum specializes in the development of quantum networking technologies and operates within the quantum computing industry. The company's main offerings include single-photon technologies and the creation of an entanglement fabric to enhance the scalability of quantum computers. Its products are designed to advance the quantum information processing field. The company was founded in 2018 and is based in Cambridge, United Kingdom.",2018,+152,Cambridge,England,United Kingdom,CB3 0FA
Nectero Medical,https://necteromedical.com,"Nectero Medical focuses on developing treatments for aneurysmal diseases. The company's main innovation is a treatment designed to stabilize the growth and minimize the risk of rupture of mid-sized Abdominal Aortic Aneurysms (AAA) using a proprietary endovascular approach. This treatment may prevent or significantly delay the need for more invasive surgical interventions, potentially allowing patients to maintain their quality of life without facing major surgery. It was founded in 2019 and is based in Tempe, Arizona.",2019,,Tempe,Arizona,United States,85281
Tire Agent,https://tireagent.com,"Tire Agent is a search engine and aggregator for tires and wheels. Features include an 'Ask The Expert' tool that guides customers in their purchases. Recommendation criteria considers location, the vehicle's purpose, average yearly mileage, budget, make, model, year, and more. It was founded in 2017 and is based in New York, New York.",2017,-354,New York,New York,United States,10017
ElevationSpace,https://elevation-space.com,"ElevationSpace focuses on the development of small satellites for space experiments within the aerospace industry. Its offering includes satellites that serve as alternatives to the International Space Station for conducting experiments in space. Its satellites are designed to frequently return materials to Earth using re-entry capsules, facilitating space experiments, manufacturing, and entertainment. It was founded in 2021 and is based in Miyagi, Japan.",2021,,,Miyagi,Japan,980-0845
SomaDetect,https://somadetect.com,"SomaDetect is a company specializing in dairy farm analytics and herd health management. Their main offerings include an in-line sensor and software system that provides dairy producers with real-time, milk-based data to monitor milk quality, reproduction, and overall herd health. This technology aids in improving milk quality, managing reproduction more effectively, and enhancing herd health without adding extra labor or disrupting milk flow. It was founded in 2016 and is based in Thornhill, Canada.",2016,+13,Thornhill,Ontario,Canada,L4J 8J2
Swift Medical,https://swiftmedical.com,"Swift Medical focuses on digital wound care management in the healthcare sector. The company offers smartphone-ready software that provides advanced wound care visualization, and touchless 3D measurement, and streamlines both clinical and administrative wound care management workflows. The company primarily serves healthcare providers, payers risk-bearing providers, and clinical research and trials. It was founded in 2015 and is based in Toronto, Canada.",2015,-61,Toronto,Ontario,Canada,M5H 3W4
Moteefe,https://moteefe.com,"Moteefe is a print-on-demand platform focused on providing eCommerce solutions for selling custom merchandise. The company offers a suite of tools to help merchants increase sales through features like discounting, cross-selling, and upselling, as well as a selection of printers for product fulfillment. Moteefe primarily serves the eCommerce industry, enabling sellers to create and market their products with ease. It was founded in 2015 and is based in London, England.",2015,-36,London,England,United Kingdom,EC2Y 5EB
Mosaic,https://mosaicdp.com,"Mosaic is a minority-certified commercial real estate development company with a focus on inclusive and sustainable projects across various sectors. The company specializes in ground-up construction and adaptive reuse of properties, including mixed-use residential, affordable housing, educational institutions, sports complexes, life sciences facilities, university housing, and hospitality. Mosaic aims to create positive community impacts through job creation, diversity, environmental sensitivity, and community acceptance. It was founded in 2008 and is based in Philadelphia, Pennsylvania.",2008,,Philadelphia,Pennsylvania,United States,19121
Inworld AI,https://inworld.ai,"Inworld AI specializes in advanced artificial intelligence for the gaming industry, enhancing the player experience with dynamic non-player characters (NPCs) and evolving game worlds. The company offers a suite of tools, including the Inworld Engine for real-time AI gameplay, Inworld Studio for streamlined game design, and Inworld Core for robust AI infrastructure solutions. Its products serve game developers looking to integrate sophisticated AI into their games for improved engagement and immersion. It was founded in 2021 and is based in Mountain View, California.",2021,-74,Mountain View,California,United States,94040
Faraway,https://faraway.com,"Faraway is a game studio focused on developing open economy games within the blockchain and Web3 sectors. The company offers a range of products including player-driven economy games, Web3 technology tools for developers, and services related to non-fungible tokens (NFTs) such as minting, staking, and crafting. Faraway's offerings cater to the gaming industry, particularly those integrating blockchain technology into their platforms. It was founded in 2021 and is based in Miami, Florida.",2021,+19,Miami,Florida,United States,33137
NEURA Robotics,https://neura-robotics.com,"NEURA Robotics develops an artificial intelligence (AI) enabled collaborative armed robot system for multiple applications. Its features include voice recognition, object detection, three-dimensional (3D) imaging, waterproofing, light-emitting diode (LED) lights, mapping tools, gesture recognition, and control tools. It serves the automotive, education, aviation, and healthcare sectors. The company was founded in 2019 and is based in Metzingen, Germany.",2019,-46,Metzingen,,Germany,72555
Threads Styling,https://threadsstyling.com,"Threads Styling is a lifestyle shopping platform. It provides dresses, knitwear, tops, coats, jackets, skirts, trousers, jewelry, watches, bags, and shoes. The company was founded in 2009 and is based in London, United Kingdom. In September 2022, Threads Styling was acquired by Chalhoub Group. The terms of the transaction were not disclosed.",2009,,London,England,United Kingdom,EC2A 4NG
Mercator AI,https://mercator.ai,"Mercator AI is a market intelligence platform for the construction industry that specializes in driving strategic business development with real-time data. The company offers services that include tracking land development, analyzing competitive landscapes, and identifying emerging project opportunities using machine learning and AI. Mercator AI primarily serves large general contractors, product manufacturers, and real estate firms seeking operational efficiency in their business development efforts. It was founded in 2021 and is based in Calgary, Alberta.",2021,-30,Calgary,Alberta,Canada,94133
Mojo Vision,https://mojo.vision,"Mojo Vision develops micro light-emitting diode (LED) technology for consumer, enterprise, and government applications. It develops High-Performance Quantum Dot (HPQD) Technology to make RGB pixels. The company also offers Mojo Lens, a contact lens with a built-in display that delivers invisible computing. Mojo Vision was formerly known as Tectus. The company was founded in 2015 and is based in Saratoga, California.",2015,-20,Saratoga,California,United States,95070
Groover,https://groover.co,"Groover operates in the music industry, focusing on music promotion. It provides a platform where artists can send their music to curators, radio stations, and music professionals for feedback and potential coverage. This service is primarily aimed at the music industry. The company was founded in 2018 and is based in Paris, France.",2018,-3,Paris,,France,75011
Audioscenic,https://audioscenic.com,"Audioscenic specializes in 3D audio reproduction technology within the audio technology sector. The company offers immersive spatial audio experiences through its proprietary Amphi AI Beamforming technology, which provides accurate surround sound without the need for headphones or complex setups. Audioscenic's solutions are primarily targeted at OEMs and ODMs for integration into various consumer electronics, including monitors, laptops, and in-car entertainment systems. It was founded in 2017 and is based in Southampton, England.",2017,-77,Southampton,England,United Kingdom,SO16 7NS
Welcome Homes,https://welcomehomes.com,"Welcome Homes operates as an online platform in the homebuilding sector, offering a turnkey solution for building new homes with a guaranteed price. The company simplifies the homebuilding process by providing services that include land selection, home customization, and construction management, all accessible through an online design studio. Welcome Homes primarily serves the residential real estate market. It was founded in 2020 and is based in New York, New York.",2020,-133,New York,New York,United States,10005
Aroma Bit,https://aromabit.com,"Aroma Bit is a company focused on digital olfaction technology in the sensor industry. The company offers compact, high-performance odor imaging sensors that can digitize smells, and provides digital smell data solutions. These products and services are primarily sold to corporate customers. It was founded in 2014 and is based in Tokyo, Japan.",2014,-52,Tokyo,,Japan,104-0061
CARPE,https://carpecorp.com,"CARPE is a story content startup specializing in the creation and service of female-oriented romance story games. Their main offerings include interactive mobile otome games that allow users to choose and engage with characters in a narrative, providing a sense of joy through freedom of choice and active participation. CARPE aims to produce a wide range of content, including original stories and adaptations of webtoon IPs. It was founded in 2023 and is based in Seoul, South Korea.",2023,,Seoul,,South Korea,
Datafold,https://datafold.com,"Datafold specializes in automated testing solutions for data engineers within the data analytics and quality assurance sectors. The company provides tools for data diffing, column-level lineage, and continuous integration testing to ensure data quality throughout development, deployment, and migration processes. Datafold's solutions are designed to help data teams deploy pipelines with confidence, accelerate development, and maintain high data quality standards. It was founded in 2020 and is based in New York, New York.",2020,-59,New York,New York,United States,10001
Let'sDressUp,https://letsdressup.in,"Let'sDressUp engages in women's clothing across various styles and occasions. It offers a range of apparel including ethnic wear, casual tops, and kaftan dresses, catering to an array of customer preferences and sizes. It provides clothing options for women of all sizes, from XS to 8XL, ensuring that women can find their perfect fit and style. The company was founded in 2019 and is based in Gurgaon, India.",2019,+174,Gurgaon,,India,122001
Peckwater Brands,https://peckwaterbrands.com,"Peckwater Brands is a platform that operates in the food delivery and hospitality industry. The company provides a service that assists existing kitchen operators in improving their food delivery performance, offering options such as a software package, a digital food license to produce one of their brands, or a full high-street dark kitchen fit-out. Peckwater Brands primarily serves the hospitality industry. It was founded in 2019 and is based in London, England.",2019,-108,London,England,United Kingdom,N1 7GU
Amenify,https://amenify.com,"Amenify is a real estate technology company focused on providing lifestyle services for multifamily residents. The company offers a range of services including professional cleaning, housekeeping, dog walking, and food delivery to enhance the living experience of apartment dwellers. Amenify's platform also enables property operators to generate ancillary income and supports local small businesses by integrating their services. It was founded in 2017 and is based in San Francisco, California.",2017,-30,San Francisco,California,United States,94111
Chexy,https://chexy.co,"Chexy is a tenant-facing payments platform that specializes in the financial services sector. The company enables renters to pay their rent via credit card, earn rewards, and build credit without requiring landlord participation. Chexy's services cater to individuals looking to maximize their credit card benefits and improve their credit score through timely rent payments. It was founded in 2022 and is based in Toronto, Canada.",2022,+128,Toronto,Ontario,Canada,M5V 1P9
Principia,https://principia-pharm.com,"Developer of recombinant biological products with prolonged therapeutic activity. The company is initially focusing on developing three albumin-based fusion proteins for the treatment of cancer, viral diseases and growth deficiencies.",1999,,Norristown,Pennsylvania,United States,19403
Narrative,https://trynarrative.com,"Narrative is an AI-powered automation platform operating in the software and e-commerce sectors. The company specializes in eliminating manual data workflows for businesses, allowing for the automation of operations such as data consolidation, workflow creation, and custom app development. Narrative primarily serves sectors that require extensive data management and workflow automation, such as supply chain, logistics, and business operations. It was founded in 2023 and is based in San Francisco, California.",2023,+73,San Francisco,California,United States,
Circuit,https://circuit.com,"Circuit is a collaboration platform from Unify. The platform enables consumers to share, interact, and share files. It is based in London, England.",,,London,England,United Kingdom,WC1V 6EA
Felix,https://liberationcover.com,"Felix is an insurance e-commerce comparison and automation platform for insurance brokers. Felix allows brokers to sell health insurance by automating processes and leveraging the internet for sales and distribution. It was formally known as Felix, changed it's name to Liberation Cover, and then changed it's name back to Felix. It was founded in 2017 and is based in Dubai, United Arab Emirates.",2017,-113,Dubai,,United Arab Emirates,
Willow,https://startwillow.com,"Willow is a company focused on personalized weight loss solutions in the healthcare industry. The company offers GLP-1 weight loss medication, personalized for each individual by board-certified doctors, along with ongoing support and care throughout the weight loss journey. It is based in New York, New York.",,,New York,New York,United States,
Ontopical,https://ontopical.com,"Ontopical provides business intelligence solutions for unstructured data from local government organizations. The company provides a platform that offers insights into topics of interest being discussed by local government organizations across North America. Ontopical was formerly known as BoxOfDocs. It was founded in 2020 and is based in Calgary, Canada.",2020,-5,Calgary,Alberta,Canada,T2R 1K3
Transcend,https://transcend.io,"Transcend focuses on providing data privacy infrastructure and data governance solutions within the technology sector. Its main offerings include a unified platform for privacy and data governance that simplifies compliance, automates data subject requests, and provides AI governance tools to manage risks associated with large language model deployments. It was founded in 2017 and is based in San Francisco, California.",2017,+242,San Francisco,California,United States,94107
Infarm,https://infarm.com,"InFarm operates as a vertical farming company providing the tools to grow fresh plants produced indoors for urban communities. The company's main services include growing a variety of plants such as herbs, leafy greens, salads, and microgreens using efficient modular farming systems. These systems require significantly less land and water than traditional farming methods. It was founded in 2013 and is based in London, United Kingdom.",2013,-100,London,England,United Kingdom,W1B 5LR
Raiinmaker,https://raiinmaker.com,"Raiinmaker provides a technology company in the Web3 domain. The company offers a platform where users can create content, join campaigns, share on their social channels, and earn rewards, thereby monetizing their social influence. The platform also allows users to create unique or branded artificial intelligence (AI) generative art. It was founded in 2018 and is based in Santa Monica, California.",2018,+328,Sheridan,Wyoming,United States,82801
Joshu,https://joshuins.com,"Joshu is a company focused on insurance product development and distribution within the insurance industry. It offers a self-service platform that enables insurance product owners to configure, launch, and manage their products with minimal reliance on IT resources. Joshu's main offerings include a builder for creating digital insurance products, ready-made stores for distribution, an underwriting desk for policy management, and integration options with third-party data APIs. It was founded in 2020 and is based in Menlo Park, California.",2020,-56,Menlo Park,California,United States,94025
Tepbac,https://tepbac.com,"Tepbac operates within the aquaculture industry, focusing on providing information and technological solutions. The company offers a comprehensive suite of software and hardware designed to simplify and bring transparency to aquaculture farming practices. Tepbac aims to promote sustainable fisheries, ensure traceable seafood, and make a positive environmental impact. It was founded in 2012 and is based in Ho Chi Minh City, Vietnam.",2012,-119,,Ho Chi Minh City,Vietnam,
Maisonette,https://maisonette.com,"Maisonette is a curated marketplace specializing in children's products, including clothing, toys, and home decor. The company offers a wide range of items for babies and kids, such as stylish apparel, essential gear, and educational playthings, without using technical jargon or promotional language. Maisonette primarily serves the consumer retail sector, particularly parents and families looking for quality children's products. It was founded in 2017 and is based in Brooklyn, New York.",2017,-55,Brooklyn,New York,United States,11201
Turbi,https://turbi.com.br,"Turbi focuses on digital vehicle rental in the transportation industry. The company offers a service where customers can rent cars for varying lengths of time, from a few hours to several days, all managed through a mobile application. The service includes features such as fuel, insurance, and 24-hour assistance. It was founded in 2016 and is based in Sao Paulo, Brazil.",2016,-26,Sao Paulo,,Brazil,05401-350
Daasity,https://daasity.com,"Daasity is a company that focuses on data-driven solutions for consumer brands, operating in the data analytics and reporting industry. The company offers a modular data platform that provides data extraction, transformation, and analytics services, enabling brands to drive results, scale their operations, and support high growth. Its services are primarily targeted towards the ecommerce, retail, and wholesale sectors. It was founded in 2017 and is based in San Diego, California.",2017,+11,San Diego,California,United States,92121
Oort,https://oort.io,"Oort develops a distributed identity threat detection platform for enterprise security. Its platform provides edge computing, distributed systems, cybersecurity, and network security services. The company offers integrations, governance risk and compliance, identity access management, security operations center, and identity security services. It was founded in 2019 and is based in Boston, Massachusetts. In July 2023, Oort was acquired by Cisco.",2019,,Boston,Massachusetts,United States,01852
Factorial,https://factorialhr.com,"Factorial specializes in human resource management software, offering a suite of tools designed to automate and centralize HR processes across various business sectors. Its main offerings include time and attendance tracking, talent management, payroll processing, and expense management, all aimed at improving productivity and reducing manual workload. Factorial's solutions cater to a range of industries, including manufacturing, consulting, technology, healthcare, and more, providing scalable and agile HR tools to meet the needs of small and medium-sized businesses. It was founded in 2016 and is based in Barcelona, Spain.",2016,-66,Barcelona,,Spain,08005
Caplight,https://caplight.com,"Caplight specializes in the trading of pre-IPO assets and derivatives within the financial technology sector. The company offers market data, price discovery tools, and derivatives to facilitate trading for shareholders, institutional investors, and brokers. Caplight primarily serves institutional investors, registered brokers, shareholders, and accredited investors in the private markets. Caplight was formerly known as Savory. It was founded in 2020 and is based in San Francisco, California.",2020,+71,San Francisco,California,United States,94111
Mintifi,https://mintifi.com,"Mintifi is a company specializing in supply chain financing and working capital solutions for small and medium-sized enterprises (SMEs) within various industries. The company offers tailored financing solutions, including inventory financing, purchase credit lines, and short-term business loans, designed to facilitate faster inventory turnover and efficient receivables management. Mintifi's platform integrates with enterprise resource planning (ERP) systems to streamline invoice settlements and provides a WhatsApp banking platform for convenient transaction management. It was founded in 2017 and is based in Mumbai, India.",2017,-68,Mumbai,,India,400059
Beatdapp,https://beatdapp.com,"Beatdapp focuses on the music industry, providing a tracking system for music labels and artists. The company's main service is to verify and validate media streamed to reduce discrepancies in tracking between Digital Service Providers and rights holders. This service primarily benefits the music industry. It was founded in 2018 and is based in Vancouver, Canada.",2018,+412,Vancouver,British Columbia,Canada,V6B 5A1
JIT,https://jithpl.com,"Just In Time Group (JIT) is a leading ICT Systems and Solutions Integrator with a focus on digital integrated solutions in the technology sector. The company offers services such as systems integration, software solutions based on geographical information systems, information security, data analytics, infrastructure solutions, ERP solutions, and IT resource outsourcing. JIT primarily serves the banking, telecommunications, government, and enterprise sectors. It was founded in 1996 and is based in Colombo, Sri Lanka.",1996,,Colombo,,Sri Lanka,
NuORDER,https://nuorder.com,"NuORDER provides a cloud and mobile business-to-business (B2B) electronic commerce (e-commerce) solution empowering brands and retailers to streamline business operations. It offers retailers a central hub to browse products and catalogs, access real-time inventory data, and place orders from a computer or mobile application. The company was founded in 2011 and is based in Los Angeles, California. In June 2021, NuORDER was acquired by Lightspeed.",2011,,Los Angeles,California,United States,90067
Orb Health,https://orbhealth.com,"Orb Health is a company that focuses on healthcare management, specifically in the domain of care management services. The company offers a range of services including remote contact centers, care management programs, and patient access solutions, all aimed at improving clinical outcomes and financial success in the healthcare sector. Their primary customers include health centers, hospitals, health systems, and unions. It was founded in 2011 and is based in Phoenix, Arizona.",2011,-33,Phoenix,Arizona,United States,85003
Elemeno Health,https://elemenohealth.com,"Elemeno Health specializes in modernizing healthcare training and support for frontline teams through its cloud-based platform within the healthcare industry. The company provides an app customized to the specific needs of hospital units, offering microlearning tools, real-time support, and digitized content to streamline training and communication. Elemeno Health's solutions are primarily tailored to the healthcare sector. It was founded in 2016 and is based in Oakland, California.",2016,-155,Oakland,California,United States,94601
Vulcan Cyber,https://vulcan.io,"Vulcan Cyber is a company specializing in cyber risk management, providing a SaaS platform for vulnerability prioritization, risk aggregation, and remediation orchestration. The company offers a comprehensive suite of tools to manage and mitigate cyber risk across infrastructure, applications, and cloud environments. Vulcan Cyber's platform is designed to integrate with over 100 security stack components, enabling security teams to streamline their cyber risk management processes. It was founded in 2018 and is based in Tel Aviv-Yafo, Israel.",2018,+73,,Tel Aviv-Yafo,Israel,6701310
ClassWallet,https://classwallet.com,"ClassWallet specializes in digital wallet solutions within the education and government sectors. The company offers a platform for managing purchasing and reimbursement processes, ensuring compliance and control while streamlining financial transactions. ClassWallet primarily serves sectors such as K-12 education, state agencies, and organizations managing scholarships and grants. ClassWallet was formerly known as Kleo. It was founded in 2014 and is based in Hollywood, Florida.",2014,-50,Hollywood,Florida,United States,33024
Billdr,https://billdr.co,"Billdr is a company that focuses on home renovation within the construction industry. The company offers a platform that helps homeowners plan and manage their renovation projects, providing access to architects and general contractors, and enabling management of the renovation from a digital dashboard. Billdr primarily serves the residential sector. It was founded in 2020 and is based in Montreal, Quebec.",2020,-61,Montreal,Quebec,Canada,H4C 2C7
Shippabo,https://shippabo.com,"Shippabo is a developer of software used to help importers manage freight and shipping, including comparing quotes from freight forwarders, filing government paperwork, and other related functions. It was founded in 2015 and is based in Los Angeles, California.",2015,-275,Los Angeles,California,United States,90013
Benchling,https://benchling.com,"Benchling is a cloud-based platform focused on biotechnology research and development within the biotech sector. The company offers a suite of software tools designed to enhance scientific data management, collaboration, and insights for R&D processes. Benchling primarily serves biotech organizations, including Fortune 500 companies, startups, and academic institutions. It was founded in 2012 and is based in San Francisco, California.",2012,-33,San Francisco,California,United States,94107
Picsart,https://picsart.com,"Picsart operates as a mobile photo-editing application. The application offers tools for photo manipulation, freehand drawing, text, layout templates, and more. The company was formerly known as Socialin. It was founded in 2011 and is based in San Francisco, California.",2011,-41,San Francisco,California,United States,94105
StrideBio,https://stridebio.com,"StrideBio is a company focused on gene therapy in the healthcare industry. It develops gene therapies for people with life-threatening diseases, leveraging its proprietary adeno-associated virus (AAV) vector engineering platform to create unique and differentiated vectors that improve upon naturally occurring AAV serotypes. The company primarily serves the healthcare sector. It was founded in 2015 and is based in Research Triangle Park, North Carolina.",2015,-73,Research Triangle Park,North Carolina,United States,27709
Certify,https://certifyos.com,"Certify provides solutions for digital health companies. The company offers a network management platform that uses an application programming interface (API) agnostic system to offer real-time credentialing, monitoring, licensing, provider health plan enrollment, provider sourcing, and more enabling insurance companies and virtual care providers to manage and scale their provider networks. It primarily serves the digital healthcare sector. The company was founded in 2021 and is based in Los Angeles, California.",2021,-37,Los Angeles,California,United States,90045
Skipify,https://skipify.com,"Skipify focuses on streamlining the shopping experience in the e-commerce industry. The company offers a digital wallet service, known as Connected Wallet, that connects shoppers with their payment options, rewards, and points during the checkout process. This service is primarily used by merchants, financial institutions, and shoppers. The company was founded in 2018 and is based in San Mateo, California.",2018,-46,San Mateo,California,United States,94401
DISQO,https://disqo.com,"DISQO is a company that focuses on customer experience (CX) in the market research and advertising measurement sectors. The company offers a platform that provides insights, agile testing, and advertising measurement products, enabling businesses to understand every customer experience and make better decisions. DISQO primarily sells to the consumer brands, ad agencies, media and publishing, and market research firms sectors. DISQO was formerly known as Active Measure. It was founded in 2015 and is based in Glendale, California.",2015,,Glendale,California,United States,91203
TalkShopLive,https://talkshop.live,"TalkShopLive develops a platform that offers live streaming and social selling services in the online retail industry. It helps individuals to sell a wide range of products online. The company primarily serves the ecommerce industry. TalkShopLive was founded in 2018 and is based in West Hollywood, California.",2018,+94,West Hollywood,California,United States,90069
Vitesse,https://vitesse.com,"Versatile designed and built optical subsystems comprised of WDM components, optical switches and optical photo-diodes and laser arrays.",Acq - P2P,,Camarillo,California,United States,93012
Portea,https://portea.com,"Portea provides general primary healthcare services. It offers post-hospitalization care, chronic disease management, and allied services such as diagnostics and medical equipment on hire. It works with hospitals, insurance companies, and individuals to improve health outcomes by providing a continuity of care in the home setting through doctors, nurses, physiotherapists, and nursing attendants employed by itself. The company was founded in 2013 and is based in Bengaluru, India.",2013,,,Bengaluru,India,560071
SafeGuard Privacy,https://safeguardprivacy.com,"SafeGuard Privacy provides an auditable privacy compliance platform. It automates the assessment of both company and vendor compliance with privacy laws to help reduce risk, save money, and increase efficiency. SafeGuard Privacy was formerly known as SafeGuard GDPR. It was founded in 2018 and is based in Pound Ridge, New York.",2018,+6,New York,New York,United States,10036
Kasada,https://kaskada.io,"Kaskada focuses on providing a streaming engine for real-time AI, operating within the data processing and artificial intelligence sectors. The company offers a platform that enables real-time aggregation, event detection, and history replay by connecting AI models to both real-time and historical data. Kaskada's solutions are designed for scale and reliability, integrating seamlessly with Python's AI/ML ecosystem and utilizing columnar data for efficient query execution. It was founded in 2015 and is based in New York, New York.",2015,,New York,New York,United States,10017
Qure4u,https://qure4u.com,"Qure4u is a company that focuses on digital health solutions within the healthcare industry. The company offers an all-in-one digital health platform that automates tasks, improves access to healthcare, optimizes workflows, and engages patients at home. The platform is primarily used by practices, clinics, hospitals, and health systems. It was founded in 2011 and is based in Bradenton, Florida.",2011,-157,Bradenton,Florida,United States,34207
Bhub,https://bhub.com,"BHub specializes in providing integrated accounting and financial solutions through technology for various businesses. The company offers a suite of services including financial management, accounting automation, tax compliance, and human resources management, all to streamline back-office operations and ensure regulatory compliance. BHub's solutions cater primarily to startups and small to medium-sized enterprises, helping them to optimize processes and reduce operational costs. It was founded in 2021 and is based in Sao Paulo, Brazil.",2021,-13,Sao Paulo,,Brazil,05407-003
Nalu Bio,https://nalubio.com,"Nalu Bio operates as a biotechnology company providing a category of chemistry-based cannabinoids for the consumer and pharmaceutical markets. The company offers a proprietary, flexible chemistry platform that is setting an industry standard for purity, quality, and sustainability. It was founded in 2019 and is based in San Fransisco, California.",2019,-186,San Francisco,California,United States,94129
Holidu,https://holidu.com,"Holidu is a travel technology company specializing in the vacation rental industry. It operates a search engine platform for comparing and booking a wide range of vacation accommodations, such as villas, apartments, and chalets. The company primarily serves the vacation rental market, offering services to both guests looking for holiday homes and hosts wanting to list their properties. It was founded in 2014 and is based in Munich, Germany.",2014,+49,Munich,,Germany,80992
Lingvist,https://lingvist.com,"Lingvist is a language learning platform that utilizes advanced artificial intelligence technology to provide language education. The company offers a suite of tools that facilitate vocabulary acquisition through smart algorithms and spaced repetition, catering to users from complete beginners to advanced learners. Lingvist's Custom Decks feature allows learners to create tailored courses based on their interests or professional needs, enhancing the relevance and applicability of the language skills acquired. It was founded in 2013 and is based in Tallinn, Estonia.",2013,-109,Tallinn,,Estonia,10126
Arketa,https://arketa.co,"Arketa develops digital solutions for wellness-related services. It offers a platform that enables wellness studios to manage their businesses by offering services such as scheduling and managing group classes, one-on-one appointments, events, and retreats, as well as selling digital products and on-demand content. It primarily serves the fitness and wellness sectors. It was founded in 2020 and is based in Los Angeles, California.",2020,-74,Los Angeles,California,United States,90049
Thrive Causemetics,https://thrivecausemetics.com,"Thrive Causemetics is a company that focuses on the beauty industry, specifically in the domain of cosmetics. The company offers a range of beauty products including makeup for eyes, face, and lips, as well as skincare products and tools. These products are designed to enhance beauty and are made with vegan, cruelty-free formulas without the use of parabens or sulfates. It was founded in 2014 and is based in Seattle, Washington.",2014,+37,Seattle,Washington,United States,98119
Plantible Foods,https://plantiblefoods.com,"Plantible Foods is a biology company focused on developing plant-based proteins for the food industry. Their main product, Rubi Protein™, is a non-allergenic and nutritious ingredient derived from the aquatic plant Lemna, intended to improve the taste and texture of various food products. The company utilizes sustainable aqua-farming methods that require minimal water and no arable land, contributing to a more sustainable food supply chain. It was founded in 2016 and is based in San Marcos, California.",2016,+31,San Marcos,California,United States,92069
8base,https://8base.com,"8base is a technology company specializing in providing a full stack low-code platform for building, running, and scaling digital products such as SaaS solutions and marketplaces. The company offers a backend-as-a-service that includes an instantly-available serverless GraphQL backend powered by AWS, along with tools for transforming ideas into digital product specifications and designs. 8base's platform is designed to cater to entrepreneurs, established companies, and digital agencies, aiming to streamline the development process from conception to deployment. It was founded in 2017 and is based in Miami, Florida.",2017,-146,Miami,Florida,United States,33156
9Fin,https://9fin.com,"9Fin specializes in debt market intelligence, providing a comprehensive suite of data and analytics tools for financial professionals. Their platform offers AI-powered capabilities for credit analysis, market predictions, and legal risk assessment, catering to the needs of investment banks, asset managers, and law firms. The company's services include real-time news alerts, extensive financial data search and analysis, predictive analytics for capital markets, and detailed covenant analysis, all designed to enhance decision-making and competitive advantage in the finance sector. It was founded in 2016 and is based in London, England.",2016,+36,London,England,United Kingdom,EC3A 3DE
Catalina Crunch,https://us.catalinacrunch.com,"Catalina Crunch specializes in low-carb, keto-friendly cereals and snacks within the health food sector. The company offers a variety of cereals, cookies, and crunch mixes that cater to health-conscious consumers looking for tasty yet nutritious alternatives to traditional snacks. Catalina Crunch primarily serves individuals following a ketogenic diet or those seeking healthier snack options. It was founded in 2017 and is based in New York, New York.",2017,-38,New York,New York,United States,10010
Bloomscape,https://bloomscape.com,"Bloomscape is a company that specializes in the delivery of indoor plants and provides plant care support. They offer a variety of ready-to-go houseplants, tools, and accessories to help customers maintain and enjoy their plants. The company caters to individuals looking for home decor, gifts, and green living solutions. It was founded in 2017 and is based in Detroit, Michigan.",2017,-47,Detroit,Michigan,United States,48208
Kardome,https://kardome.com,"Kardome specializes in voice user interface technology. The company's main offerings include technology that manages speech recognition accuracy in challenging soundscapes, isolates target speech from multiple speakers, and provides voice biometrics. It primarily sells to manufacturers and original equipment manufacturers (OEMs) looking to improve their existing speech recognition systems. It was founded in 2019 and is based in Tel Aviv-Jaffa, Israel.",2019,-23,,Tel Aviv-Jaffa,Israel,6701908
